population_size,num_samples,r,seq_len,model,d,t1,t2
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3732293.619703464,3732293.619703464
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1884022.4662530704,1884022.4662530704
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2297788.843773195,2297788.843773195
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1848240.8380588526,1848240.8380588526
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1730800.213279943,1730800.213279943
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1204059.8339235415,1204059.8339235415
1000000.0,2,1e-08,1000000.0,smck_10,1.0,197947.7649112987,197947.7649112987
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3441694.8527934547,3441694.8527934547
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1976328.6812277737,1976328.6812277737
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2555341.859637173,2555341.859637173
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1021007.3486833891,1021007.3486833891
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1627472.013728989,1627472.013728989
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2447478.383542017,2447478.383542017
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2224922.8426267053,2224922.8426267053
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3802895.2642110423,6491550.984127559
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1453702.8835359025,1453702.8835359025
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2670222.8266302147,2670222.8266302147
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1868334.4150609695,1868334.4150609695
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1140442.3882431574,1140442.3882431574
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2441990.14755008,2441990.14755008
1000000.0,2,1e-08,1000000.0,smck_10,1.0,280570.9716066953,280570.9716066953
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1506119.9023521207,1506119.9023521207
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4485558.860028991,4485558.860028991
1000000.0,2,1e-08,1000000.0,smck_10,1.0,447297.23367290985,447297.23367290985
1000000.0,2,1e-08,1000000.0,smck_10,1.0,631694.0829596715,631694.0829596715
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4526811.395883773,4526811.395883773
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1628551.867521155,1628551.867521155
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,532301.9331750992,532301.9331750992
1000000.0,2,1e-08,1000000.0,smck_10,1.0,366089.1446224425,366089.1446224425
1000000.0,2,1e-08,1000000.0,smck_10,1.0,215334.34462116257,215334.34462116257
1000000.0,2,1e-08,1000000.0,smck_10,1.0,776920.8627909682,776920.8627909682
1000000.0,2,1e-08,1000000.0,smck_10,1.0,2408171.1530791284,2408171.1530791284
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1435954.9043610562,1435954.9043610562
1000000.0,2,1e-08,1000000.0,smck_10,1.0,3221579.6649959674,3221579.6649959674
1000000.0,2,1e-08,1000000.0,smck_10,1.0,353584.8243594072,353584.8243594072
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1358705.5561735274,1358705.5561735274
1000000.0,2,1e-08,1000000.0,smck_10,1.0,419321.4976281155,419321.4976281155
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1107027.5581255765,1107027.5581255765
1000000.0,2,1e-08,1000000.0,smck_10,1.0,666777.1806658293,666777.1806658293
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1877564.1228597006,1877564.1228597006
1000000.0,2,1e-08,1000000.0,smck_10,1.0,6365.518748241585,6365.518748241585
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4729897.810878022,4729897.810878022
1000000.0,2,1e-08,1000000.0,smck_10,1.0,1488499.4455335021,1488499.4455335021
1000000.0,2,1e-08,1000000.0,smck_10,1.0,211957.39389797518,211957.39389797518
1000000.0,2,1e-08,1000000.0,smck_10,1.0,814808.6690565057,814808.6690565057
1000000.0,2,1e-08,1000000.0,smck_10,1.0,4617935.3197235195,4617935.3197235195
