N,L,r,num_samples,model,gens,ancestors
1000000.0,1000000.0,1e-08,10000,100000,5,10339
1000000.0,1000000.0,1e-08,10000,1000000,5,10395
1000000.0,1000000.0,1e-08,10000,100000,5,10400
1000000.0,1000000.0,1e-08,10000,100000,5,10413
1000000.0,1000000.0,1e-08,10000,1000000,5,10378
1000000.0,1000000.0,1e-08,10000,1000000,5,10367
1000000.0,1000000.0,1e-08,10000,1000000,5,10325
1000000.0,1000000.0,1e-08,10000,1000000,5,10391
1000000.0,1000000.0,1e-08,10000,1000000,5,10378
1000000.0,1000000.0,1e-08,10000,1000000,5,10360
1000000.0,1000000.0,1e-08,10000,1000000,5,10369
1000000.0,1000000.0,1e-08,10000,1000000,5,10360
1000000.0,1000000.0,1e-08,10000,1000000,5,10398
1000000.0,1000000.0,1e-08,10000,1000000,5,10327
1000000.0,1000000.0,1e-08,10000,1000000,5,10336
1000000.0,1000000.0,1e-08,10000,1000000,5,10357
1000000.0,1000000.0,1e-08,10000,1000000,5,10358
1000000.0,1000000.0,1e-08,10000,1000000,5,10378
1000000.0,1000000.0,1e-08,10000,1000000,5,10397
1000000.0,1000000.0,1e-08,10000,1000000,5,10312
1000000.0,1000000.0,1e-08,10000,1000000,5,10403
1000000.0,1000000.0,1e-08,10000,1000000,5,10356
1000000.0,1000000.0,1e-08,10000,1000000,5,10329
1000000.0,1000000.0,1e-08,10000,1000000,5,10381
1000000.0,1000000.0,1e-08,10000,1000000,5,10356
1000000.0,1000000.0,1e-08,10000,1000000,5,10358
1000000.0,1000000.0,1e-08,10000,1000000,5,10385
1000000.0,1000000.0,1e-08,10000,smc_k,5,10394
1000000.0,1000000.0,1e-08,10000,smc_k,5,10362
1000000.0,1000000.0,1e-08,10000,smc_k,5,10408
1000000.0,1000000.0,1e-08,10000,smc_k,5,10359
1000000.0,1000000.0,1e-08,10000,smc_k,5,10387
1000000.0,1000000.0,1e-08,10000,smc_k,5,10330
1000000.0,1000000.0,1e-08,10000,smc_k,5,10356
1000000.0,1000000.0,1e-08,10000,smc_k,5,10348
1000000.0,1000000.0,1e-08,10000,smc_k,5,10316
1000000.0,1000000.0,1e-08,10000,smc_k,5,10349
1000000.0,1000000.0,1e-08,10000,smc_k,5,10325
1000000.0,1000000.0,1e-08,10000,smc_k,5,10392
1000000.0,1000000.0,1e-08,10000,smc_k,5,10377
1000000.0,1000000.0,1e-08,10000,smc_k,5,10361
1000000.0,1000000.0,1e-08,10000,smc_k,5,10393
1000000.0,1000000.0,1e-08,10000,smc_k,5,10344
1000000.0,1000000.0,1e-08,10000,smc_k,5,10349
1000000.0,1000000.0,1e-08,10000,smc_k,5,10371
1000000.0,1000000.0,1e-08,10000,smc_k,5,10334
1000000.0,1000000.0,1e-08,10000,Hudson,5,10373
1000000.0,1000000.0,1e-08,10000,Hudson,5,10359
1000000.0,1000000.0,1e-08,10000,smc_k,5,10358
1000000.0,1000000.0,1e-08,10000,Hudson,5,10385
1000000.0,1000000.0,1e-08,10000,smc_k,5,10369
1000000.0,1000000.0,1e-08,10000,Hudson,5,10349
1000000.0,1000000.0,1e-08,10000,smc_k,5,10380
1000000.0,1000000.0,1e-08,10000,Hudson,5,10397
1000000.0,1000000.0,1e-08,10000,Hudson,5,10337
1000000.0,1000000.0,1e-08,10000,smc_k,5,10329
1000000.0,1000000.0,1e-08,10000,Hudson,5,10378
1000000.0,1000000.0,1e-08,10000,Hudson,5,10366
1000000.0,1000000.0,1e-08,10000,smc_k,5,10359
1000000.0,1000000.0,1e-08,10000,smc_k,5,10367
1000000.0,1000000.0,1e-08,10000,Hudson,5,10340
1000000.0,1000000.0,1e-08,10000,Hudson,5,10339
1000000.0,1000000.0,1e-08,10000,Hudson,5,10395
1000000.0,1000000.0,1e-08,10000,Hudson,5,10371
1000000.0,1000000.0,1e-08,10000,Hudson,5,10346
1000000.0,1000000.0,1e-08,10000,Hudson,5,10350
1000000.0,1000000.0,1e-08,10000,Hudson,5,10385
1000000.0,1000000.0,1e-08,10000,Hudson,5,10419
1000000.0,1000000.0,1e-08,10000,Hudson,5,10346
1000000.0,1000000.0,1e-08,10000,Hudson,5,10364
1000000.0,1000000.0,1e-08,10000,Hudson,5,10373
1000000.0,1000000.0,1e-08,10000,Hudson,5,10283
1000000.0,1000000.0,1e-08,10000,Hudson,5,10349
1000000.0,1000000.0,1e-08,10000,Hudson,5,10350
1000000.0,1000000.0,1e-08,10000,Hudson,5,10325
1000000.0,1000000.0,1e-08,10000,Hudson,5,10368
1000000.0,1000000.0,1e-08,10000,Hudson,5,10371
1000000.0,1000000.0,1e-08,10000,dtwf,5,10300
1000000.0,1000000.0,1e-08,10000,dtwf,5,10372
1000000.0,1000000.0,1e-08,10000,dtwf,5,10377
1000000.0,1000000.0,1e-08,10000,dtwf,5,10378
1000000.0,1000000.0,1e-08,10000,dtwf,5,10392
1000000.0,1000000.0,1e-08,10000,dtwf,5,10353
1000000.0,1000000.0,1e-08,10000,dtwf,5,10415
1000000.0,1000000.0,1e-08,10000,dtwf,5,10324
1000000.0,1000000.0,1e-08,10000,dtwf,5,10380
1000000.0,1000000.0,1e-08,10000,dtwf,5,10325
1000000.0,1000000.0,1e-08,10000,dtwf,5,10409
1000000.0,1000000.0,1e-08,10000,dtwf,5,10332
1000000.0,1000000.0,1e-08,10000,dtwf,5,10388
1000000.0,1000000.0,1e-08,10000,dtwf,5,10384
1000000.0,1000000.0,1e-08,10000,dtwf,5,10341
1000000.0,1000000.0,1e-08,10000,dtwf,5,10378
1000000.0,1000000.0,1e-08,10000,dtwf,5,10324
1000000.0,1000000.0,1e-08,10000,dtwf,5,10379
1000000.0,1000000.0,1e-08,10000,dtwf,5,10394
1000000.0,1000000.0,1e-08,10000,dtwf,5,10346
1000000.0,1000000.0,1e-08,10000,dtwf,5,10371
1000000.0,1000000.0,1e-08,10000,dtwf,5,10340
1000000.0,1000000.0,1e-08,10000,dtwf,5,10330
1000000.0,1000000.0,1e-08,10000,dtwf,5,10346
1000000.0,1000000.0,1e-08,10000,10,10,10709
1000000.0,1000000.0,1e-08,10000,10,10,10692
1000000.0,1000000.0,1e-08,10000,dtwf,5,10347
1000000.0,1000000.0,1e-08,10000,10,10,10711
1000000.0,1000000.0,1e-08,10000,10,10,10642
1000000.0,1000000.0,1e-08,10000,10,10,10722
1000000.0,1000000.0,1e-08,10000,10,10,10656
1000000.0,1000000.0,1e-08,10000,10,10,10708
1000000.0,1000000.0,1e-08,10000,10,10,10668
1000000.0,1000000.0,1e-08,10000,10,10,10720
1000000.0,1000000.0,1e-08,10000,10,10,10736
1000000.0,1000000.0,1e-08,10000,10,10,10715
1000000.0,1000000.0,1e-08,10000,10,10,10703
1000000.0,1000000.0,1e-08,10000,10,10,10744
1000000.0,1000000.0,1e-08,10000,10,10,10736
1000000.0,1000000.0,1e-08,10000,10,10,10710
1000000.0,1000000.0,1e-08,10000,10,10,10727
1000000.0,1000000.0,1e-08,10000,10,10,10715
1000000.0,1000000.0,1e-08,10000,100,10,10724
1000000.0,1000000.0,1e-08,10000,10,10,10704
1000000.0,1000000.0,1e-08,10000,10,10,10697
1000000.0,1000000.0,1e-08,10000,10,10,10764
1000000.0,1000000.0,1e-08,10000,10,10,10776
1000000.0,1000000.0,1e-08,10000,10,10,10669
1000000.0,1000000.0,1e-08,10000,10,10,10797
1000000.0,1000000.0,1e-08,10000,100,10,10768
1000000.0,1000000.0,1e-08,10000,10,10,10716
1000000.0,1000000.0,1e-08,10000,100,10,10748
1000000.0,1000000.0,1e-08,10000,10,10,10707
1000000.0,1000000.0,1e-08,10000,100,10,10621
1000000.0,1000000.0,1e-08,10000,100,10,10728
1000000.0,1000000.0,1e-08,10000,100,10,10761
1000000.0,1000000.0,1e-08,10000,100,10,10664
1000000.0,1000000.0,1e-08,10000,100,10,10778
1000000.0,1000000.0,1e-08,10000,100,10,10721
1000000.0,1000000.0,1e-08,10000,100,10,10776
1000000.0,1000000.0,1e-08,10000,100,10,10724
1000000.0,1000000.0,1e-08,10000,100,10,10691
1000000.0,1000000.0,1e-08,10000,100,10,10695
1000000.0,1000000.0,1e-08,10000,100,10,10708
1000000.0,1000000.0,1e-08,10000,100,10,10722
